Date (Monthly +00:00: 12/01/2019 - 12/31/2024),Series,Value
12/2019,ALJAZ,0
1/2020,ALJAZ,0.4978
2/2020,ALJAZ,2.5092
3/2020,ALJAZ,6.6488
4/2020,ALJAZ,7.0599
5/2020,ALJAZ,5.455
6/2020,ALJAZ,3.4959
7/2020,ALJAZ,3.9532
8/2020,ALJAZ,2.696
9/2020,ALJAZ,2.2113
10/2020,ALJAZ,2.5498
11/2020,ALJAZ,1.9128
12/2020,ALJAZ,2.9826
1/2021,ALJAZ,2.0757
2/2021,ALJAZ,1.1896
3/2021,ALJAZ,1.5135
4/2021,ALJAZ,1.3992
5/2021,ALJAZ,0.8732
6/2021,ALJAZ,0
7/2021,ALJAZ,0
8/2021,ALJAZ,0
9/2021,ALJAZ,0
10/2021,ALJAZ,0
11/2021,ALJAZ,0
12/2021,ALJAZ,0
1/2022,ALJAZ,0
2/2022,ALJAZ,0
3/2022,ALJAZ,0
4/2022,ALJAZ,0
5/2022,ALJAZ,0
6/2022,ALJAZ,0
7/2022,ALJAZ,0
8/2022,ALJAZ,0
9/2022,ALJAZ,0
10/2022,ALJAZ,0
11/2022,ALJAZ,0
12/2022,ALJAZ,0
1/2023,ALJAZ,0
2/2023,ALJAZ,0
3/2023,ALJAZ,0
4/2023,ALJAZ,0
5/2023,ALJAZ,0
6/2023,ALJAZ,0
7/2023,ALJAZ,0
8/2023,ALJAZ,0
9/2023,ALJAZ,0
10/2023,ALJAZ,0
11/2023,ALJAZ,0
12/2023,ALJAZ,0
1/2024,ALJAZ,0
2/2024,ALJAZ,0
3/2024,ALJAZ,0
4/2024,ALJAZ,0
5/2024,ALJAZ,0
6/2024,ALJAZ,0
7/2024,ALJAZ,0
8/2024,ALJAZ,0
9/2024,ALJAZ,0
10/2024,ALJAZ,0
12/2019,BBCNEWS,0
1/2020,BBCNEWS,1.1293
2/2020,BBCNEWS,4.6673
3/2020,BBCNEWS,11.0506
4/2020,BBCNEWS,10.5047
5/2020,BBCNEWS,8.1388
6/2020,BBCNEWS,5.9997
7/2020,BBCNEWS,6.0823
8/2020,BBCNEWS,4.151
9/2020,BBCNEWS,5.2024
10/2020,BBCNEWS,5.5207
11/2020,BBCNEWS,3.7954
12/2020,BBCNEWS,4.6772
1/2021,BBCNEWS,4.1568
2/2021,BBCNEWS,2.9045
3/2021,BBCNEWS,2.5081
4/2021,BBCNEWS,2.0726
5/2021,BBCNEWS,1.8528
6/2021,BBCNEWS,1.5744
7/2021,BBCNEWS,1.6978
8/2021,BBCNEWS,0.7493
9/2021,BBCNEWS,0.6895
10/2021,BBCNEWS,0.6963
11/2021,BBCNEWS,0.915
12/2021,BBCNEWS,1.5267
1/2022,BBCNEWS,0.91
2/2022,BBCNEWS,0.3166
3/2022,BBCNEWS,0.1338
4/2022,BBCNEWS,0.1679
5/2022,BBCNEWS,0.1376
6/2022,BBCNEWS,0.0728
7/2022,BBCNEWS,0.0729
8/2022,BBCNEWS,0.0975
9/2022,BBCNEWS,0.0747
10/2022,BBCNEWS,0.0633
11/2022,BBCNEWS,0.0854
12/2022,BBCNEWS,0.1321
1/2023,BBCNEWS,0.0786
2/2023,BBCNEWS,0.0174
3/2023,BBCNEWS,0.0697
4/2023,BBCNEWS,0.0249
5/2023,BBCNEWS,0.0363
6/2023,BBCNEWS,0.0679
7/2023,BBCNEWS,0.0265
8/2023,BBCNEWS,0.0371
9/2023,BBCNEWS,0.0264
10/2023,BBCNEWS,0.0405
11/2023,BBCNEWS,0.081
12/2023,BBCNEWS,0.0552
1/2024,BBCNEWS,0.0277
2/2024,BBCNEWS,0.0125
3/2024,BBCNEWS,0.0173
4/2024,BBCNEWS,0.0058
5/2024,BBCNEWS,0.0167
6/2024,BBCNEWS,0.0045
7/2024,BBCNEWS,0.0201
8/2024,BBCNEWS,0.0106
9/2024,BBCNEWS,0.0045
10/2024,BBCNEWS,0.0021
12/2019,BLOOMBERG,0
1/2020,BLOOMBERG,1.7134
2/2020,BLOOMBERG,8.5785
3/2020,BLOOMBERG,6.5435
4/2020,BLOOMBERG,4.9072
5/2020,BLOOMBERG,3.6323
6/2020,BLOOMBERG,2.6902
7/2020,BLOOMBERG,2.6904
8/2020,BLOOMBERG,1.9322
9/2020,BLOOMBERG,1.6029
10/2020,BLOOMBERG,1.8585
11/2020,BLOOMBERG,1.5286
12/2020,BLOOMBERG,1.2813
1/2021,BLOOMBERG,1.0069
2/2021,BLOOMBERG,0.6963
3/2021,BLOOMBERG,0.5611
4/2021,BLOOMBERG,0.5153
5/2021,BLOOMBERG,0.5133
6/2021,BLOOMBERG,0.3861
7/2021,BLOOMBERG,0.4562
8/2021,BLOOMBERG,0.4236
9/2021,BLOOMBERG,0.213
10/2021,BLOOMBERG,0.1631
11/2021,BLOOMBERG,0.3354
12/2021,BLOOMBERG,0.4801
1/2022,BLOOMBERG,0.2248
2/2022,BLOOMBERG,0.1435
3/2022,BLOOMBERG,0.1123
4/2022,BLOOMBERG,0.1318
5/2022,BLOOMBERG,0.0879
6/2022,BLOOMBERG,0.0677
7/2022,BLOOMBERG,0.0501
8/2022,BLOOMBERG,0.0199
9/2022,BLOOMBERG,0.0242
10/2022,BLOOMBERG,0.0077
11/2022,BLOOMBERG,0.0437
12/2022,BLOOMBERG,0.0479
1/2023,BLOOMBERG,0.0239
2/2023,BLOOMBERG,0.0041
3/2023,BLOOMBERG,0.0119
4/2023,BLOOMBERG,0.0095
5/2023,BLOOMBERG,0.0072
6/2023,BLOOMBERG,0
7/2023,BLOOMBERG,0.0119
8/2023,BLOOMBERG,0
9/2023,BLOOMBERG,0
10/2023,BLOOMBERG,0
11/2023,BLOOMBERG,0
12/2023,BLOOMBERG,0.0043
1/2024,BLOOMBERG,0
2/2024,BLOOMBERG,0
3/2024,BLOOMBERG,0.0023
4/2024,BLOOMBERG,0
5/2024,BLOOMBERG,0
6/2024,BLOOMBERG,0
7/2024,BLOOMBERG,0
8/2024,BLOOMBERG,0
9/2024,BLOOMBERG,0
10/2024,BLOOMBERG,0
12/2019,CNN,0
1/2020,CNN,0.1988
2/2020,CNN,2.6693
3/2020,CNN,8.9244
4/2020,CNN,7.9138
5/2020,CNN,6.2279
6/2020,CNN,4.1408
7/2020,CNN,6.3452
8/2020,CNN,4.1014
9/2020,CNN,3.6811
10/2020,CNN,5.5159
11/2020,CNN,3.161
12/2020,CNN,3.3487
