Date (Monthly +00:00: 12/01/2019 - 12/31/2024),Series,Value
12/2019,ALJAZ,0
1/2020,ALJAZ,0.4978
2/2020,ALJAZ,2.5092
3/2020,ALJAZ,6.6488
4/2020,ALJAZ,7.0599
5/2020,ALJAZ,5.455
6/2020,ALJAZ,3.4959
7/2020,ALJAZ,3.9532
8/2020,ALJAZ,2.696
9/2020,ALJAZ,2.2113
10/2020,ALJAZ,2.5498
11/2020,ALJAZ,1.9128
12/2020,ALJAZ,2.9826
1/2021,ALJAZ,2.0757
2/2021,ALJAZ,1.1896
3/2021,ALJAZ,1.5135
4/2021,ALJAZ,1.3992
5/2021,ALJAZ,0.8732
6/2021,ALJAZ,0
7/2021,ALJAZ,0
8/2021,ALJAZ,0
9/2021,ALJAZ,0
10/2021,ALJAZ,0
11/2021,ALJAZ,0
12/2021,ALJAZ,0
1/2022,ALJAZ,0
2/2022,ALJAZ,0
3/2022,ALJAZ,0
4/2022,ALJAZ,0
5/2022,ALJAZ,0
6/2022,ALJAZ,0
7/2022,ALJAZ,0
8/2022,ALJAZ,0
9/2022,ALJAZ,0
10/2022,ALJAZ,0
11/2022,ALJAZ,0
12/2022,ALJAZ,0
1/2023,ALJAZ,0
2/2023,ALJAZ,0
3/2023,ALJAZ,0
4/2023,ALJAZ,0
5/2023,ALJAZ,0
6/2023,ALJAZ,0
7/2023,ALJAZ,0
8/2023,ALJAZ,0
9/2023,ALJAZ,0
10/2023,ALJAZ,0
11/2023,ALJAZ,0
12/2023,ALJAZ,0
1/2024,ALJAZ,0
2/2024,ALJAZ,0
3/2024,ALJAZ,0
4/2024,ALJAZ,0
5/2024,ALJAZ,0
6/2024,ALJAZ,0
7/2024,ALJAZ,0
8/2024,ALJAZ,0
9/2024,ALJAZ,0
10/2024,ALJAZ,0
12/2019,BBCNEWS,0
1/2020,BBCNEWS,1.1293
2/2020,BBCNEWS,4.7749
3/2020,BBCNEWS,12.3288
4/2020,BBCNEWS,13.9422
5/2020,BBCNEWS,12.1009
6/2020,BBCNEWS,9.1323
7/2020,BBCNEWS,9.4208
8/2020,BBCNEWS,6.7823
9/2020,BBCNEWS,8.4574
10/2020,BBCNEWS,10.3241
11/2020,BBCNEWS,7.5273
12/2020,BBCNEWS,8.9812
1/2021,BBCNEWS,9.3045
2/2021,BBCNEWS,7.2957
3/2021,BBCNEWS,6.2913
4/2021,BBCNEWS,6.0819
5/2021,BBCNEWS,5.6667
6/2021,BBCNEWS,5.9931
7/2021,BBCNEWS,6.7882
8/2021,BBCNEWS,3.3714
9/2021,BBCNEWS,3.8007
10/2021,BBCNEWS,3.7633
11/2021,BBCNEWS,3.3903
12/2021,BBCNEWS,7.4666
1/2022,BBCNEWS,5.8234
2/2022,BBCNEWS,3.1635
3/2022,BBCNEWS,1.0885
4/2022,BBCNEWS,1.8385
5/2022,BBCNEWS,1.4226
6/2022,BBCNEWS,1.0551
7/2022,BBCNEWS,1.1189
8/2022,BBCNEWS,0.9534
9/2022,BBCNEWS,0.6895
10/2022,BBCNEWS,0.8896
11/2022,BBCNEWS,1.2848
12/2022,BBCNEWS,1.6319
1/2023,BBCNEWS,1.4367
2/2023,BBCNEWS,0.4116
3/2023,BBCNEWS,0.8547
4/2023,BBCNEWS,0.4101
5/2023,BBCNEWS,0.6579
6/2023,BBCNEWS,1.0779
7/2023,BBCNEWS,0.4276
8/2023,BBCNEWS,0.474
9/2023,BBCNEWS,0.4552
10/2023,BBCNEWS,0.4817
11/2023,BBCNEWS,0.9361
12/2023,BBCNEWS,0.8413
1/2024,BBCNEWS,0.4792
2/2024,BBCNEWS,0.2345
3/2024,BBCNEWS,0.2489
4/2024,BBCNEWS,0.2636
5/2024,BBCNEWS,0.2457
6/2024,BBCNEWS,0.2791
7/2024,BBCNEWS,0.5665
8/2024,BBCNEWS,0.3215
9/2024,BBCNEWS,0.3164
10/2024,BBCNEWS,0.1909
12/2019,BLOOMBERG,0
1/2020,BLOOMBERG,1.7134
2/2020,BLOOMBERG,8.6057
3/2020,BLOOMBERG,6.9184
4/2020,BLOOMBERG,6.203
5/2020,BLOOMBERG,5.5261
6/2020,BLOOMBERG,4.9632
7/2020,BLOOMBERG,4.9285
8/2020,BLOOMBERG,4.0993
9/2020,BLOOMBERG,3.9551
10/2020,BLOOMBERG,5.1807
11/2020,BLOOMBERG,4.7234
12/2020,BLOOMBERG,4.3466
1/2021,BLOOMBERG,3.2193
2/2021,BLOOMBERG,2.5928
3/2021,BLOOMBERG,2.4437
4/2021,BLOOMBERG,2.6468
5/2021,BLOOMBERG,2.5373
6/2021,BLOOMBERG,2.3867
7/2021,BLOOMBERG,2.7931
8/2021,BLOOMBERG,3.3827
9/2021,BLOOMBERG,2.4768
10/2021,BLOOMBERG,2.2132
11/2021,BLOOMBERG,3.2722
12/2021,BLOOMBERG,3.843
1/2022,BLOOMBERG,3.2961
2/2022,BLOOMBERG,2.1953
3/2022,BLOOMBERG,1.7044
4/2022,BLOOMBERG,2.5467
5/2022,BLOOMBERG,2.7831
6/2022,BLOOMBERG,1.842
7/2022,BLOOMBERG,2.1222
8/2022,BLOOMBERG,1.6299
9/2022,BLOOMBERG,1.2432
10/2022,BLOOMBERG,1.4758
11/2022,BLOOMBERG,3.6264
12/2022,BLOOMBERG,3.1804
1/2023,BLOOMBERG,2.0216
2/2023,BLOOMBERG,0.8031
3/2023,BLOOMBERG,0.7029
4/2023,BLOOMBERG,0.5789
5/2023,BLOOMBERG,0.596
6/2023,BLOOMBERG,0.6281
7/2023,BLOOMBERG,0.6161
8/2023,BLOOMBERG,0.5126
9/2023,BLOOMBERG,0.4957
10/2023,BLOOMBERG,0.4046
11/2023,BLOOMBERG,0.4476
12/2023,BLOOMBERG,0.4338
1/2024,BLOOMBERG,0.4394
2/2024,BLOOMBERG,0.4959
3/2024,BLOOMBERG,0.4748
4/2024,BLOOMBERG,0.3322
5/2024,BLOOMBERG,0.4203
6/2024,BLOOMBERG,0.434
7/2024,BLOOMBERG,0.5021
8/2024,BLOOMBERG,0.3671
9/2024,BLOOMBERG,0.3462
10/2024,BLOOMBERG,0.4523
12/2019,CNN,0
1/2020,CNN,0.1988
2/2020,CNN,2.6883
3/2020,CNN,9.753
4/2020,CNN,10.5794
5/2020,CNN,9.2349
6/2020,CNN,6.0949
7/2020,CNN,10.1415
8/2020,CNN,7.0116
9/2020,CNN,6.3027
