Date (Monthly +00:00: 12/01/2019 - 12/31/2024),Series,Value
12/2019,ALJAZ,0
1/2020,ALJAZ,0
2/2020,ALJAZ,0
3/2020,ALJAZ,0
4/2020,ALJAZ,0
5/2020,ALJAZ,0
6/2020,ALJAZ,0
7/2020,ALJAZ,0
8/2020,ALJAZ,0
9/2020,ALJAZ,0
10/2020,ALJAZ,0
11/2020,ALJAZ,0
12/2020,ALJAZ,0
1/2021,ALJAZ,0
2/2021,ALJAZ,0
3/2021,ALJAZ,0
4/2021,ALJAZ,0
5/2021,ALJAZ,0
6/2021,ALJAZ,0
7/2021,ALJAZ,0
8/2021,ALJAZ,0
9/2021,ALJAZ,0
10/2021,ALJAZ,0
11/2021,ALJAZ,0
12/2021,ALJAZ,0
1/2022,ALJAZ,0
2/2022,ALJAZ,0
3/2022,ALJAZ,0
4/2022,ALJAZ,0
5/2022,ALJAZ,0
6/2022,ALJAZ,0
7/2022,ALJAZ,0
8/2022,ALJAZ,0
9/2022,ALJAZ,0
10/2022,ALJAZ,0
11/2022,ALJAZ,0
12/2022,ALJAZ,0
1/2023,ALJAZ,0
2/2023,ALJAZ,0
3/2023,ALJAZ,0
4/2023,ALJAZ,0
5/2023,ALJAZ,0
6/2023,ALJAZ,0
7/2023,ALJAZ,0
8/2023,ALJAZ,0
9/2023,ALJAZ,0
10/2023,ALJAZ,0
11/2023,ALJAZ,0
12/2023,ALJAZ,0
1/2024,ALJAZ,0
2/2024,ALJAZ,0
3/2024,ALJAZ,0
4/2024,ALJAZ,0
5/2024,ALJAZ,0
6/2024,ALJAZ,0
7/2024,ALJAZ,0
8/2024,ALJAZ,0
9/2024,ALJAZ,0
10/2024,ALJAZ,0
12/2019,BBCNEWS,0
1/2020,BBCNEWS,0
2/2020,BBCNEWS,0.1757
3/2020,BBCNEWS,1.5149
4/2020,BBCNEWS,3.9367
5/2020,BBCNEWS,4.3494
6/2020,BBCNEWS,3.4566
7/2020,BBCNEWS,3.7302
8/2020,BBCNEWS,2.9061
9/2020,BBCNEWS,3.5698
10/2020,BBCNEWS,5.2296
11/2020,BBCNEWS,3.9991
12/2020,BBCNEWS,4.684
1/2021,BBCNEWS,5.5266
2/2021,BBCNEWS,4.6407
3/2021,BBCNEWS,4.0032
4/2021,BBCNEWS,4.2128
5/2021,BBCNEWS,4.0295
6/2021,BBCNEWS,4.5754
7/2021,BBCNEWS,5.2717
8/2021,BBCNEWS,2.7187
9/2021,BBCNEWS,3.1926
10/2021,BBCNEWS,3.1737
11/2021,BBCNEWS,2.5714
12/2021,BBCNEWS,6.1099
1/2022,BBCNEWS,5.0513
2/2022,BBCNEWS,2.889
3/2022,BBCNEWS,0.9859
4/2022,BBCNEWS,1.6995
5/2022,BBCNEWS,1.298
6/2022,BBCNEWS,0.9964
7/2022,BBCNEWS,1.0583
8/2022,BBCNEWS,0.8659
9/2022,BBCNEWS,0.6279
10/2022,BBCNEWS,0.838
11/2022,BBCNEWS,1.2231
12/2022,BBCNEWS,1.5286
1/2023,BBCNEWS,1.3862
2/2023,BBCNEWS,0.3957
3/2023,BBCNEWS,0.7925
4/2023,BBCNEWS,0.3878
5/2023,BBCNEWS,0.626
6/2023,BBCNEWS,1.0134
7/2023,BBCNEWS,0.4036
8/2023,BBCNEWS,0.4444
9/2023,BBCNEWS,0.4321
10/2023,BBCNEWS,0.4442
11/2023,BBCNEWS,0.864
12/2023,BBCNEWS,0.788
1/2024,BBCNEWS,0.4576
2/2024,BBCNEWS,0.2233
3/2024,BBCNEWS,0.2322
4/2024,BBCNEWS,0.2585
5/2024,BBCNEWS,0.2302
6/2024,BBCNEWS,0.2746
7/2024,BBCNEWS,0.5531
8/2024,BBCNEWS,0.3109
9/2024,BBCNEWS,0.3132
10/2024,BBCNEWS,0.1888
12/2019,BLOOMBERG,0
1/2020,BLOOMBERG,0
2/2020,BLOOMBERG,0.03
3/2020,BLOOMBERG,0.4
4/2020,BLOOMBERG,1.3464
5/2020,BLOOMBERG,1.9239
6/2020,BLOOMBERG,2.3133
7/2020,BLOOMBERG,2.2772
8/2020,BLOOMBERG,2.2072
9/2020,BLOOMBERG,2.3986
10/2020,BLOOMBERG,3.3784
11/2020,BLOOMBERG,3.2545
12/2020,BLOOMBERG,3.1214
1/2021,BLOOMBERG,2.2583
2/2021,BLOOMBERG,1.918
3/2021,BLOOMBERG,1.894
4/2021,BLOOMBERG,2.1539
5/2021,BLOOMBERG,2.0446
6/2021,BLOOMBERG,2.0154
7/2021,BLOOMBERG,2.36
8/2021,BLOOMBERG,2.9897
9/2021,BLOOMBERG,2.2688
10/2021,BLOOMBERG,2.0609
11/2021,BLOOMBERG,2.9531
12/2021,BLOOMBERG,3.3844
1/2022,BLOOMBERG,3.0888
2/2022,BLOOMBERG,2.0641
3/2022,BLOOMBERG,1.6081
4/2022,BLOOMBERG,2.4355
5/2022,BLOOMBERG,2.7008
6/2022,BLOOMBERG,1.7837
7/2022,BLOOMBERG,2.0781
8/2022,BLOOMBERG,1.6119
9/2022,BLOOMBERG,1.2227
10/2022,BLOOMBERG,1.4681
11/2022,BLOOMBERG,3.596
12/2022,BLOOMBERG,3.1505
1/2023,BLOOMBERG,2.0069
2/2023,BLOOMBERG,0.7991
3/2023,BLOOMBERG,0.691
4/2023,BLOOMBERG,0.5694
5/2023,BLOOMBERG,0.5925
6/2023,BLOOMBERG,0.6281
7/2023,BLOOMBERG,0.6161
8/2023,BLOOMBERG,0.5126
9/2023,BLOOMBERG,0.4957
10/2023,BLOOMBERG,0.4046
11/2023,BLOOMBERG,0.4476
12/2023,BLOOMBERG,0.4295
1/2024,BLOOMBERG,0.4394
2/2024,BLOOMBERG,0.4959
3/2024,BLOOMBERG,0.4725
4/2024,BLOOMBERG,0.3322
5/2024,BLOOMBERG,0.4203
6/2024,BLOOMBERG,0.434
7/2024,BLOOMBERG,0.5021
8/2024,BLOOMBERG,0.3671
9/2024,BLOOMBERG,0.3462
10/2024,BLOOMBERG,0.4523
12/2019,CNN,0
1/2020,CNN,0
2/2020,CNN,0.0205
3/2020,CNN,0.9092
